Number,Name,Salinity_Sampled,Temp_Sampled,Time_Started,Time_Ended,Date_Sampled,Salinity,Titration_Batch,Date_Run_TA,TA,initialTA,frag,light.dark,initial,Treatment,Temp,Blank,delTA,
73,M-1-1 dark,,25.7,12:54,13:59,10/10/23,36.34,3,1/8/24,2166.453103,2158.667714,M-1-1 ,dark,final,C,A,,-7.785389,
86,M-1-1 light,,25.3,10:50,11:50,10/10/23,36.23,4,1/9/24,2130.184198,2165.92609,M-1-1 ,light,final,C,A,,35.741892,
56,M-1-10 light,,26.3,13:50,14:53,10/9/23,36.07,2,1/5/24,2004.57302,2063.749905,M-1-10,light,final,I,H,???,59.176885,
66,M-1-11 dark,,25.7,12:54,13:59,10/10/23,36.27,3,1/8/24,2075.206959,2256.716851,M-1-11,dark,final,G,A,,181.509892,
85,M-1-11 light,,25.3,10:50,11:50,10/10/23,36.32,4,1/9/24,2116.437534,2159.14093,M-1-11,light,final,G,A,,42.703396,
12,M-1-16 dark,,25.8,16:00,17:03,10/9/23,36.05,1,1/4/24,1958.205141,2020.175082,M-1-16,dark,final,E,A,,61.969941,
6,M-1-16 light,,26.3,13:50,14:53,10/9/23,35.99,1,1/4/24,1954.368823,1976.826053,M-1-16,light,final,E,A,,22.45723,
19,M-1-20 dark,,25.8,16:00,17:03,10/9/23,36.03,1,1/4/24,2002.774145,2020.175082,M-1-20,dark,final,E,H,,17.400937,
7,M-1-20 light,,26.3,13:50,14:53,10/9/23,35.98,1,1/4/24,1997.368998,1976.826053,M-1-20,light,final,E,H,,-20.542945,
30,M-1-22 T2,,25.8,16:00,17:03,10/9/23,36.13,2,1/5/24,2018.932232,2063.749905,M-1-10,dark,final,I,H,,44.817673,???light.dark
58,M-1-24 dark,,25.7,12:54,13:59,10/10/23,36.26,3,1/8/24,2200.188492,2256.716851,M-1-24,dark,final,G,H,,56.528359,
55,M-1-24 light,,25.3,10:50,11:50,10/10/23,36.25,2,1/5/24,2152.594013,2159.14093,M-1-24,light,final,G,H,,6.546917,
93,M-1-5 dark,,25.7,12:54,13:59,10/10/23,36.27,4,1/9/24,2192.930543,2158.667714,M-1-5 ,dark,final,C,H,,-34.262829,
68,M-1-5 light,,25.3,10:50,11:50,10/10/23,36.26,3,1/8/24,2155.958957,2165.92609,M-1-5 ,light,final,C,H,,9.967133,
59,M-1-6 light,,26.3,13:50,14:53,10/9/23,36.06,3,1/8/24,1977.542489,2063.749905,M-1-6 ,light,final,I,A,,86.207416,
29,M-1-6-dark,,25.8,16:00,17:03,10/9/23,36.14,2,1/5/24,1998.670781,2027.91186,M-1-6-,dark,final,I,A,,29.241079,
89,M-2-1 dark,,25.7,12:54,13:59,10/10/23,36.21,4,1/9/24,2132.671499,2158.667714,M-2-1 ,dark,final,C,A,,25.996215,
11,M-2-1 light,,25.3,10:50,11:50,10/10/23,36.21,1,1/4/24,2079.096926,2165.92609,M-2-1 ,light,final,C,A,,86.829164,
16,M-2-10 dark,,25.8,16:00,17:03,10/9/23,36.14,1,1/4/24,1993.884463,2027.91186,M-2-10,dark,final,I,H,,34.027397,
36,M-2-10 light,,26.3,13:50,14:53,10/9/23,35.98,2,1/5/24,1940.308087,2063.749905,M-2-10,light,final,I,H,,123.441818,
83,M-2-11 dark,,25.7,12:54,13:59,10/10/23,36.3,4,1/9/24,2112.498387,2256.716851,M-2-11,dark,final,G,A,,144.218464,
79,M-2-11 light,,25.3,10:50,11:50,10/10/23,36.16,4,1/9/24,2088.98595,2159.14093,M-2-11,light,final,G,A,,70.15498,
57,M-2-15 dark,,25.7,12:54,13:59,10/10/23,36.17,3,1/8/24,2183.487193,2256.716851,M-2-15,dark,final,G,H,,73.229658,
77,M-2-15 light,,25.3,10:50,11:50,10/10/23,36.25,4,1/9/24,2078.267678,2159.14093,M-2-15,light,final,G,H,,80.873252,
69,M-2-16 dark,,25.8,16:00,17:03,10/9/23,36.09,3,1/8/24,1977.178948,2020.175082,M-2-16,dark,final,E,A,,42.996134,
15,M-2-16 light,,26.3,13:50,14:53,10/9/23,36.02,1,1/4/24,1942.044122,1976.826053,M-2-16,light,final,E,A,,34.781931,
42,M-2-20 dark,,25.8,16:00,17:03,10/9/23,36.03,2,1/5/24,1965.732339,2020.175082,M-2-20,dark,final,E,H,,54.442743,
52,M-2-20 light,,26.3,13:50,14:53,10/9/23,36.22,2,1/5/24,1945.212955,1976.826053,M-2-20,light,final,E,H,,31.613098,
10,M-2-5 dark,,25.7,12:54,13:59,10/10/23,36.28,1,1/4/24,2171.048456,2158.667714,M-2-5 ,dark,final,C,H,,-12.380742,
82,M-2-5 light,,25.3,10:50,11:50,10/10/23,36.24,4,1/9/24,2181.483688,2165.92609,M-2-5 ,light,final,C,H,,-15.557598,
39,M-2-6 dark,,25.8,16:00,17:03,10/9/23,36.16,2,1/5/24,1986.355879,2027.91186,M-2-6 ,dark,final,I,A,,41.555981,
41,M-2-6 light,,26.3,13:50,14:53,10/9/23,36.22,2,1/5/24,1956.060658,2063.749905,M-2-6 ,light,final,I,A,,107.689247,
20,M-5-1 dark,,25.7,12:54,13:59,10/10/23,36.27,1,1/4/24,2066.780829,2158.667714,M-5-1 ,dark,final,C,A,,91.886885,
65,M-5-1 light,,25.3,10:50,11:50,10/10/23,36.35,3,1/8/24,2111.409219,2165.92609,M-5-1 ,light,final,C,A,,54.516871,
9,M-5-10 dark,,25.8,16:00,17:03,10/9/23,36.02,1,1/4/24,2012.231125,2027.91186,M-5-10,dark,final,I,H,,15.680735,
31,M-5-10 light,,26.3,13:50,14:53,10/9/23,36.1,2,1/5/24,1992.035246,2063.749905,M-5-10,light,final,I,H,,71.714659,
70,M-5-11 dark,,25.7,12:54,13:59,10/10/23,36.24,3,1/8/24,2044.787068,2256.716851,M-5-11,dark,final,G,A,,211.929783,
88,M-5-11 light,,25.3,10:50,11:50,10/10/23,36.25,4,1/9/24,2083.202007,2159.14093,M-5-11,light,final,G,A,,75.938923,
81,M-5-15 dark,,25.7,12:54,13:59,10/10/23,36.29,4,1/9/24,2139.070573,2256.716851,M-5-15,dark,final,G,H,,117.646278,
91,M-5-15 light,,25.3,10:50,11:50,10/10/23,36.25,4,1/9/24,2134.555975,2159.14093,M-5-15,light,final,G,H,,24.584955,
14,M-5-16 dark,,25.8,16:00,17:03,10/9/23,36.08,1,1/4/24,1960.431607,2020.175082,M-5-16,dark,final,E,A,,59.743475,
47,M-5-16 light,,26.3,13:50,14:53,10/9/23,36.02,2,1/5/24,1981.524071,1976.826053,M-5-16,light,final,E,A,,-4.698018,
51,M-5-20 dark,,25.8,16:00,17:03,10/9/23,36.12,2,1/5/24,1958.642388,2020.175082,M-5-20,dark,final,E,H,,61.532694,
24,M-5-20 light,,26.3,13:50,14:53,10/9/23,35.93,1,1/4/24,2007.299358,1976.826053,M-5-20,light,final,E,H,,-30.473305,
1,M-5-5 dark,,25.7,12:54,13:59,10/10/23,36.2,1,1/4/24,2120.148507,2158.667714,M-5-5 ,dark,final,C,H,,38.519207,
62,M-5-5 light,,25.3,10:50,11:50,10/10/23,36.3,3,1/8/24,2125.618231,2165.92609,M-5-5 ,light,final,C,H,,40.307859,
22,M-5-6 dark,,25.8,16:00,17:03,10/9/23,35.99,1,1/4/24,1922.721693,2027.91186,M-5-6 ,dark,final,I,A,,105.190167,
40,M-5-6 light,,26.3,13:50,14:53,10/9/23,35.95,2,1/5/24,1947.276199,2063.749905,M-5-6 ,light,final,I,A,,116.473706,
76,M-8-1 dark,,25.7,12:54,13:59,10/10/23,36.27,4,1/9/24,2129.682335,2158.667714,M-8-1 ,dark,final,C,A,,28.985379,
74,M-8-1 light,,25.3,10:50,11:50,10/10/23,36.26,3,1/8/24,2066.919034,2165.92609,M-8-1 ,light,final,C,A,,99.007056,
49,M-8-10 dark,,25.8,16:00,17:03,10/9/23,36.07,2,1/5/24,1952.009079,2027.91186,M-8-10,dark,final,I,H,,75.902781,
50,M-8-10 light,,26.3,13:50,14:53,10/9/23,36.08,2,1/5/24,1891.018286,2063.749905,M-8-10,light,final,I,H,,172.731619,
87,M-8-11 dark,,25.7,12:54,13:59,10/10/23,36.12,4,1/9/24,2063.852825,2256.716851,M-8-11,dark,final,G,A,,192.864026,
5,M-8-11 light,,25.3,10:50,11:50,10/10/23,36.24,1,1/4/24,2024.755086,2159.14093,M-8-11,light,final,G,A,,134.385844,
8,M-8-15 dark,,25.7,12:54,13:59,10/10/23,36.36,1,1/4/24,2076.738675,2256.716851,M-8-15,dark,final,G,H,,179.978176,
54,M-8-15 light,,25.3,10:50,11:50,10/10/23,36.21,2,1/5/24,2082.872872,2159.14093,M-8-15,light,final,G,H,,76.268058,
32,M-8-16 dark,,25.8,16:00,17:03,10/9/23,36.07,2,1/5/24,1892.389964,2020.175082,M-8-16,dark,final,E,A,,127.785118,
37,M-8-16 light,,26.3,13:50,14:53,10/9/23,35.9,2,1/5/24,1907.992083,1976.826053,M-8-16,light,final,E,A,,68.83397,
35,M-8-20 dark,,25.8,16:00,17:03,10/9/23,35.88,2,1/5/24,1983.651315,2020.175082,M-8-20,dark,final,E,H,,36.523767,
25,M-8-20 light,,26.3,13:50,14:53,10/9/23,36.1,1,1/4/24,2011.066414,1976.826053,M-8-20,light,final,E,H,,-34.240361,
84,M-8-5 light,,25.3,10:50,11:50,10/10/23,36.35,4,1/9/24,2126.408221,2165.92609,M-8-5 ,light,final,C,H,,39.517869,
46,M-8-6 dark,,25.8,16:00,17:03,10/9/23,36.18,2,1/5/24,1858.049591,2027.91186,M-8-6 ,dark,final,I,A,,169.862269,
23,M-8-6 light,,26.3,13:50,14:53,10/9/23,36,1,1/4/24,1982.587096,2063.749905,M-8-6 ,light,final,I,A,,81.162809,
61,M-9-1 dark,,25.7,12:54,13:59,10/10/23,36.34,3,1/8/24,2194.969342,2158.667714,M-9-1 ,dark,final,C,A,,-36.301628,
90,M-9-1 light,,25.3,10:50,11:50,10/10/23,36.32,4,1/9/24,2178.276896,2165.92609,M-9-1 ,light,final,C,A,,-12.350806,
45,M-9-10 dark,,25.8,16:00,17:03,10/9/23,36.07,2,1/5/24,1991.961131,2027.91186,M-9-10,dark,final,I,H,,35.950729,
26,M-9-10 light,,26.3,13:50,14:53,10/9/23,36.01,1,1/4/24,1959.07776,2063.749905,M-9-10,light,final,I,H,,104.672145,
4,M-9-11 dark,,25.7,12:54,13:59,10/10/23,36.2,1,1/4/24,2110.140913,2256.716851,M-9-11,dark,final,G,A,,146.575938,
71,M-9-11 light,,25.3,10:50,11:50,10/10/23,36.2,3,1/8/24,2099.367952,2159.14093,M-9-11,light,final,G,A,,59.772978,
94,M-9-15 dark,,25.7,12:54,13:59,10/10/23,36.29,4,1/9/24,2148.849476,2256.716851,M-9-15,dark,final,G,H,,107.867375,
67,M-9-15 light,,25.3,10:50,11:50,10/10/23,36.17,3,1/8/24,2122.167339,2159.14093,M-9-15,light,final,G,H,,36.973591,
27,M-9-16 dark,,25.8,16:00,17:03,10/9/23,36.09,1,1/4/24,1996.02281,2020.175082,M-9-16,dark,final,E,A,,24.152272,
43,M-9-16 light,,26.3,13:50,14:53,10/9/23,36.05,2,1/5/24,1957.967889,1976.826053,M-9-16,light,final,E,A,,18.858164,
78,M-9-20 dark,,25.8,16:00,17:03,10/9/23,35.93,4,1/9/24,1985.733141,2020.175082,M-9-20,dark,final,E,H,,34.441941,
21,M-9-20 light,,26.3,13:50,14:53,10/9/23,36.04,1,1/4/24,1966.874573,1976.826053,M-9-20,light,final,E,H,,9.95148,
13,M-9-5 dark,,25.7,12:54,13:59,10/10/23,36.23,1,1/4/24,2112.606931,2158.667714,M-9-5 ,dark,final,C,H,,46.060783,
75,M-9-5 light,,25.3,10:50,11:50,10/10/23,36.21,4,1/9/24,2118.425033,2165.92609,M-9-5 ,light,final,C,H,,47.501057,
33,M-9-6 dark,,25.8,16:00,17:03,10/9/23,36.08,2,1/5/24,1988.651425,2027.91186,M-9-6 ,dark,final,I,A,,39.260435,
18,M-9-6 light,,26.3,13:50,14:53,10/9/23,36.08,1,1/4/24,1931.093613,2063.749905,M-9-6 ,light,final,I,A,,132.656292,